filename,Original Area,Original Perimeter,Original m10,Original m01,Original m11,Original m20,Original m02,Convex Hull Area,Convex Hull Perimeter,Convex Hull m10,Convex Hull m01,Convex Hull m11,Convex Hull m20,Convex Hull m02,# of Deficits,Area of Deficits
00000060.png,5006.0,309.50578105449677,214606.3333333333,343665.3333333333,14555498.666666666,9939713.5,29322569.833333332,5006.0,309.50578105449677,214606.3333333333,343665.3333333333,14555498.666666666,9939713.5,29322569.833333332,12,1785.0000000000005
00000061.png,5022.0,304.35991168022156,226038.8333333333,331672.5,14792300.75,10925812.666666666,27442596.833333332,5022.0,304.35991168022156,226038.8333333333,331672.5,14792300.75,10925812.666666666,27442596.833333332,11,1873.4999999999998
00000062.png,4953.5,299.61435210704803,231172.16666666666,312696.6666666666,14600046.625,11575281.583333332,24787112.916666664,4953.5,299.61435210704803,231172.16666666666,312696.6666666666,14600046.625,11575281.583333332,24787112.916666664,11,1769.9999999999995
00000063.png,5164.0,303.7319059371948,242706.8333333333,324209.5,15141592.583333332,12354359.333333332,25412190.5,5164.0,303.7319059371948,242706.8333333333,324209.5,15141592.583333332,12354359.333333332,25412190.5,13,2117.9999999999995
00000064.png,5679.5,311.33173501491547,270918.0,367066.6666666666,17375068.375,14146855.916666666,29404615.083333332,5679.5,311.33173501491547,270918.0,367066.6666666666,17375068.375,14146855.916666666,29404615.083333332,11,2292.999999999999
00000065.png,6283.0,322.296226143837,304717.8333333333,423745.5,20459063.0,16372393.0,35049490.666666664,6283.0,322.296226143837,304717.8333333333,423745.5,20459063.0,16372393.0,35049490.666666664,11,2936.0000000000005
00000066.png,6688.0,328.05987310409546,330627.0,464386.0,22907264.083333332,18266127.5,39152325.666666664,6688.0,328.05987310409546,330627.0,464386.0,22907264.083333332,18266127.5,39152325.666666664,14,2896.0
00000067.png,6915.0,331.60027265548706,344380.5,488896.5,24313048.333333332,19304531.833333332,41668120.83333333,6915.0,331.60027265548706,344380.5,488896.5,24313048.333333332,19304531.833333332,41668120.83333333,13,2686.000000000001
00000068.png,6957.5,332.73286402225494,346666.0,495151.3333333333,24512276.291666664,19508977.083333332,42349546.08333333,6957.5,332.73286402225494,346666.0,495151.3333333333,24512276.291666664,19508977.083333332,42349546.08333333,12,2790.499999999999
00000069.png,6967.5,333.5101126432419,342350.6666666666,499801.3333333333,24274233.125,19068549.583333332,43021183.75,6967.5,333.5101126432419,342350.6666666666,499801.3333333333,24274233.125,19068549.583333332,43021183.75,14,2849.9999999999995
00000070.png,6845.0,332.71698904037476,332195.1666666666,492553.0,23573089.25,18282339.333333332,42466475.5,6845.0,332.71698904037476,332195.1666666666,492553.0,23573089.25,18282339.333333332,42466475.5,11,2830.000000000001
00000071.png,6634.0,330.4562381505966,316524.8333333333,474276.1666666666,22307133.0,17037044.166666664,40820857.166666664,6634.0,330.4562381505966,316524.8333333333,474276.1666666666,22307133.0,17037044.166666664,40820857.166666664,12,3117.9999999999995
